Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2006,4,England,16 to 19,Any,27.20%,46.70%,19.50%,22900,84300,1228500,2631800
2006,4,England,20 to 24,Any,29.40%,69.20%,39.80%,40600,138200,2309000,3334800
2006,4,England,25 to 29,Any,33.30%,79.80%,46.50%,38700,116200,2605800,3266900
2006,4,England,30 to 34,Any,30.80%,80%,49.20%,40000,129800,2684800,3356000
2006,4,England,35 to 39,Any,30%,80.80%,50.80%,46400,154800,3098100,3834400
2006,4,England,40 to 44,Any,30.10%,83.40%,53.30%,50900,169000,3260500,3909900
2006,4,England,45 to 49,Any,30.10%,82.90%,52.80%,56400,187200,2880500,3474500
2006,4,England,50 to 54,Any,27.70%,79.70%,52%,53900,194400,2437900,3058300
2006,4,England,55 to 59,Any,20.70%,69.90%,49.20%,42400,205000,2225800,3185200
2006,4,England,60 to 64,Any,13.30%,44.70%,31.40%,20600,154500,1237100,2768400
2006,3,England,16 to 19,Any,22.60%,46.70%,24.10%,20900,92100,1225100,2623800
2006,3,England,20 to 24,Any,36.20%,71%,34.90%,45300,125400,2351200,3311700
2006,3,England,25 to 29,Any,30.90%,79.70%,48.90%,33500,108600,2587300,3244800
2006,3,England,30 to 34,Any,27.40%,79.90%,52.50%,35600,130100,2705300,3386000
2006,3,England,35 to 39,Any,34.50%,80.90%,46.50%,53700,156000,3113600,3846700
2006,3,England,40 to 44,Any,35.40%,83.10%,47.70%,60800,172000,3237300,3897900
2006,3,England,45 to 49,Any,34.30%,83.50%,49.20%,59000,172000,2883200,3453000
2006,3,England,50 to 54,Any,24.90%,79.60%,54.70%,47600,191300,2426400,3049700
2006,3,England,55 to 59,Any,24.50%,70.30%,45.80%,48400,197400,2262700,3219800
2006,3,England,60 to 64,Any,14.10%,44.40%,30.30%,21600,153600,1205400,2716400
2007,4,England,16 to 19,Any,27.90%,45.60%,17.70%,26100,93500,1207200,2647700
2007,4,England,20 to 24,Any,34.80%,69.30%,34.50%,41000,117900,2368600,3419200
2007,4,England,25 to 29,Any,33.60%,79.90%,46.30%,45400,135200,2679000,3354900
2007,4,England,30 to 34,Any,35.10%,81.10%,46%,42200,120100,2647900,3263800
2007,4,England,35 to 39,Any,28.20%,81%,52.80%,50600,179400,3058500,3775000
2007,4,England,40 to 44,Any,32.30%,83%,50.80%,70400,218200,3268900,3937300
2007,4,England,45 to 49,Any,28.70%,83.40%,54.70%,58200,202900,2968100,3559800
2007,4,England,50 to 54,Any,28%,80.80%,52.80%,59400,212500,2509800,3107600
2007,4,England,55 to 59,Any,20%,70.90%,50.90%,44600,223300,2170400,3062500
2007,4,England,60 to 64,Any,12.40%,46.50%,34.10%,21300,171600,1369000,2945600
2007,3,England,16 to 19,Any,27.60%,45.50%,18%,28600,104000,1205200,2648600
2007,3,England,20 to 24,Any,35.20%,70.10%,34.90%,46100,131000,2382500,3401300
2007,3,England,25 to 29,Any,34.10%,80.20%,46.10%,45700,133900,2674300,3333100
2007,3,England,30 to 34,Any,29.50%,80.40%,50.90%,35500,120200,2634900,3277500
2007,3,England,35 to 39,Any,29.60%,80.80%,51.20%,50400,170300,3064700,3793000
2007,3,England,40 to 44,Any,30.30%,83.40%,53.10%,64900,214400,3283100,3937500
2007,3,England,45 to 49,Any,26.30%,82.60%,56.30%,53000,202000,2921400,3538000
2007,3,England,50 to 54,Any,34.40%,80.50%,46.10%,67600,196500,2488200,3090600
2007,3,England,55 to 59,Any,20.60%,69.90%,49.30%,46600,226200,2156700,3087900
2007,3,England,60 to 64,Any,10.40%,45.40%,35.10%,15600,150900,1322800,2912000
2007,2,England,16 to 19,Any,27.10%,41.90%,14.70%,28700,105700,1108000,2646700
2007,2,England,20 to 24,Any,27.40%,67.40%,40%,36100,131700,2278400,3381400
2007,2,England,25 to 29,Any,37.40%,79.70%,42.30%,50000,133900,2639300,3311500
2007,2,England,30 to 34,Any,32.20%,80.40%,48.20%,39400,122500,2650600,3296400
2007,2,England,35 to 39,Any,25.70%,80.90%,55.20%,42200,164200,3081200,3809500
2007,2,England,40 to 44,Any,29.30%,83%,53.70%,58400,199200,3264700,3933500
2007,2,England,45 to 49,Any,27.70%,82.40%,54.70%,54500,196500,2898300,3516400
2007,2,England,50 to 54,Any,32.50%,80.70%,48.20%,63200,194400,2481000,3076400
2007,2,England,55 to 59,Any,19.20%,69.70%,50.40%,43600,226800,2171000,3116400
2007,2,England,60 to 64,Any,12%,45.40%,33.40%,18500,154100,1303400,2872200
2007,1,England,16 to 19,Any,26.40%,42.50%,16.10%,27100,102900,1120900,2639200
2007,1,England,20 to 24,Any,31.60%,67.80%,36.20%,40600,128700,2275100,3358100
2007,1,England,25 to 29,Any,33.10%,79.50%,46.40%,41800,126300,2615900,3289200
2007,1,England,30 to 34,Any,30%,79.80%,49.80%,40500,135100,2655200,3326300
2007,1,England,35 to 39,Any,25.20%,80.30%,55.20%,40400,160300,3070500,3822100
2007,1,England,40 to 44,Any,30.30%,83.40%,53.10%,53700,177300,3269900,3921700
2007,1,England,45 to 49,Any,26.60%,82.30%,55.70%,51700,194600,2875300,3495500
2007,1,England,50 to 54,Any,31%,80.10%,49.10%,59800,193000,2456300,3067400
2007,1,England,55 to 59,Any,22.50%,69.70%,47.20%,47900,213000,2195000,3150900
2007,1,England,60 to 64,Any,12.50%,44.50%,32%,20100,160700,1254000,2820200
2008,4,England,16 to 19,Any,20.80%,43.10%,22.30%,20300,97800,1138100,2640700
2008,4,England,20 to 24,Any,38.20%,67%,28.80%,49600,129900,2323500,3467400
2008,4,England,25 to 29,Any,35.70%,79.10%,43.50%,53600,150400,2714400,3431200
2008,4,England,30 to 34,Any,31.10%,81%,49.90%,37300,119800,2621000,3234300
2008,4,England,35 to 39,Any,30.30%,81.30%,51%,53300,176100,2999800,3691300
2008,4,England,40 to 44,Any,25.40%,82.20%,56.80%,49600,195300,3235700,3934900
2008,4,England,45 to 49,Any,28.40%,83.30%,54.80%,56800,199800,3039300,3650700
2008,4,England,50 to 54,Any,27.80%,80.10%,52.30%,53100,190600,2544000,3174600
2008,4,England,55 to 59,Any,23%,71%,48%,48800,212200,2122800,2989300
2008,4,England,60 to 64,Any,16.90%,46.60%,29.70%,26900,159400,1422700,3051200
2008,3,England,16 to 19,Any,23.90%,45.10%,21.20%,20600,86200,1191300,2643600
2008,3,England,20 to 24,Any,37.90%,68.50%,30.60%,55600,146600,2372900,3463800
2008,3,England,25 to 29,Any,35.40%,79.60%,44.10%,53000,149600,2717100,3415700
2008,3,England,30 to 34,Any,31.20%,80.40%,49.20%,38600,123800,2598400,3233200
2008,3,England,35 to 39,Any,27%,80.80%,53.80%,46600,172800,3001000,3715800
2008,3,England,40 to 44,Any,29.80%,82.80%,53%,61200,205400,3258200,3936400
2008,3,England,45 to 49,Any,30.40%,83.40%,53%,64600,212400,3023700,3626800
2008,3,England,50 to 54,Any,27%,80.30%,53.30%,59200,219400,2535100,3157900
2008,3,England,55 to 59,Any,24.20%,70.70%,46.50%,51300,212400,2119500,2997500
2008,3,England,60 to 64,Any,16.60%,46.40%,29.80%,26100,157000,1409500,3034800
2008,2,England,16 to 19,Any,25.30%,43%,17.60%,22900,90300,1136800,2645900
2008,2,England,20 to 24,Any,37.90%,66.30%,28.40%,53800,141900,2292400,3455400
2008,2,England,25 to 29,Any,38.80%,80.50%,41.70%,56700,146100,2735200,3398200
2008,2,England,30 to 34,Any,32%,80.80%,48.90%,39300,123000,2616600,3236900
2008,2,England,35 to 39,Any,29.20%,81.10%,51.80%,51200,175200,3029700,3738200
2008,2,England,40 to 44,Any,27.20%,82.60%,55.40%,55100,202200,3251200,3937100
2008,2,England,45 to 49,Any,25.30%,83.50%,58.10%,51100,201800,3007900,3603600
2008,2,England,50 to 54,Any,29.10%,80.50%,51.50%,61600,211900,2528800,3141400
2008,2,England,55 to 59,Any,22.90%,71%,48.10%,49200,215200,2138900,3011600
2008,2,England,60 to 64,Any,15%,46.90%,32%,24400,163200,1414000,3012700
2008,1,England,16 to 19,Any,30.80%,44%,13.20%,29500,95800,1164700,2646800
2008,1,England,20 to 24,Any,34.80%,66.90%,32.10%,44400,127400,2299800,3437300
2008,1,England,25 to 29,Any,35.70%,80.20%,44.60%,48300,135300,2709000,3376700
2008,1,England,30 to 34,Any,34.60%,80.90%,46.30%,42600,123200,2628700,3250400
2008,1,England,35 to 39,Any,25.80%,80.70%,54.90%,47500,184200,3031800,3756500
2008,1,England,40 to 44,Any,32.90%,83%,50.20%,65700,199900,3269000,3937300
2008,1,England,45 to 49,Any,27.50%,83.40%,55.90%,62000,225500,2986600,3581600
2008,1,England,50 to 54,Any,30.30%,81%,50.60%,60400,199100,2529200,3124500
2008,1,England,55 to 59,Any,21.40%,70.90%,49.50%,48600,227600,2152700,3037000
2008,1,England,60 to 64,Any,15.20%,46.80%,31.60%,26900,177400,1393300,2979200
2009,4,England,16 to 19,Any,20.20%,37.30%,17.10%,19400,95800,977100,2617600
2009,4,England,20 to 24,Any,30.10%,63%,32.90%,51600,171600,2206200,3504500
2009,4,England,25 to 29,Any,36.80%,77.40%,40.60%,48500,131700,2722300,3517700
2009,4,England,30 to 34,Any,30.90%,79.30%,48.50%,47200,152900,2582500,3256100
2009,4,England,35 to 39,Any,24.70%,79.80%,55.10%,39900,161600,2872300,3597400
2009,4,England,40 to 44,Any,33%,82.50%,49.40%,71700,217100,3224500,3911000
2009,4,England,45 to 49,Any,29.50%,82.30%,52.80%,69700,236200,3077900,3741000
2009,4,England,50 to 54,Any,29.10%,80.30%,51.20%,62300,214400,2603300,3243400
2009,4,England,55 to 59,Any,29.70%,71.10%,41.40%,62700,210900,2102600,2957300
2009,4,England,60 to 64,Any,14.50%,45.10%,30.60%,27000,185800,1397300,3095800
2009,3,England,16 to 19,Any,23.80%,39%,15.20%,23600,99200,1023300,2627200
2009,3,England,20 to 24,Any,30.10%,64.20%,34%,51800,171900,2237100,3487300
2009,3,England,25 to 29,Any,32%,77.60%,45.70%,42600,133200,2707100,3487300
2009,3,England,30 to 34,Any,33.60%,78.20%,44.60%,51200,152500,2538600,3244600
2009,3,England,35 to 39,Any,32.80%,80.30%,47.60%,53300,162900,2907300,3619300
2009,3,England,40 to 44,Any,30.10%,81.30%,51.20%,65400,217300,3189900,3923300
2009,3,England,45 to 49,Any,28.10%,82.60%,54.50%,63900,227400,3073500,3719900
2009,3,England,50 to 54,Any,25.40%,79.80%,54.40%,54800,215800,2572100,3225200
2009,3,England,55 to 59,Any,24.80%,70.90%,46.10%,50400,203400,2100700,2964800
2009,3,England,60 to 64,Any,15.40%,45.90%,30.40%,27500,178300,1417600,3091700
2009,2,England,16 to 19,Any,18.80%,37.70%,18.90%,20600,109900,991900,2634700
2009,2,England,20 to 24,Any,35%,62.60%,27.60%,53300,152200,2176200,3474600
2009,2,England,25 to 29,Any,30.90%,76.90%,46%,45500,147200,2661800,3462000
2009,2,England,30 to 34,Any,25.40%,78.20%,52.90%,36800,145300,2531800,3236600
2009,2,England,35 to 39,Any,31.20%,80.20%,49%,52500,168000,2921200,3642500
2009,2,England,40 to 44,Any,30.70%,81.50%,50.80%,61800,201300,3205500,3932100
2009,2,England,45 to 49,Any,31.60%,82.70%,51.10%,70000,221400,3058000,3698200
2009,2,England,50 to 54,Any,29%,79.90%,50.90%,59400,204900,2562000,3207500
2009,2,England,55 to 59,Any,24.50%,71.30%,46.80%,48200,196600,2120200,2972500
2009,2,England,60 to 64,Any,17.80%,45.50%,27.70%,31200,175300,1403900,3083600
2009,1,England,16 to 19,Any,20.10%,40.20%,20.10%,22800,113300,1059100,2637700
2009,1,England,20 to 24,Any,37.50%,63%,25.50%,54700,145800,2186400,3471000
2009,1,England,25 to 29,Any,34.20%,78.50%,44.30%,51600,150800,2706500,3446500
2009,1,England,30 to 34,Any,29.20%,79.90%,50.80%,37600,128900,2585700,3235400
2009,1,England,35 to 39,Any,32.60%,80.90%,48.30%,60300,185300,2965500,3666900
2009,1,England,40 to 44,Any,29.50%,82.50%,53%,52900,179300,3246400,3933300
2009,1,England,45 to 49,Any,30.40%,82.60%,52.10%,66700,219100,3033500,3674400
2009,1,England,50 to 54,Any,30.50%,80%,49.50%,59200,194300,2551800,3191000
2009,1,England,55 to 59,Any,22.30%,71.20%,48.80%,45800,204900,2121300,2980700
2009,1,England,60 to 64,Any,19%,46.30%,27.20%,31500,165700,1418600,3067400
2010,4,England,16 to 19,Any,19.70%,35.50%,15.80%,24400,123800,913100,2572400
2010,4,England,20 to 24,Any,27.90%,63%,35%,41600,148700,2241400,3560700
2010,4,England,25 to 29,Any,36.30%,78.60%,42.30%,55000,151800,2847500,3624500
2010,4,England,30 to 34,Any,33.40%,80%,46.70%,50400,151000,2652500,3314800
2010,4,England,35 to 39,Any,32%,79.30%,47.30%,64300,201000,2775000,3498900
2010,4,England,40 to 44,Any,31.60%,81.20%,49.60%,74100,234600,3140500,3867600
2010,4,England,45 to 49,Any,38%,82.50%,44.50%,92500,243700,3146100,3813900
2010,4,England,50 to 54,Any,28.80%,79.60%,50.80%,74500,258700,2646700,3325300
2010,4,England,55 to 59,Any,23.20%,71.10%,48%,54800,236500,2095300,2945500
2010,4,England,60 to 64,Any,12.70%,45.20%,32.50%,24100,189900,1402800,3103100
2010,3,England,16 to 19,Any,20.90%,37.60%,16.60%,24600,117500,971400,2585900
2010,3,England,20 to 24,Any,33%,66.10%,33.10%,51500,156000,2346900,3551000
2010,3,England,25 to 29,Any,34.80%,77.60%,42.80%,51400,147400,2795700,3603100
2010,3,England,30 to 34,Any,33.40%,79.70%,46.20%,48300,144500,2625200,3295600
2010,3,England,35 to 39,Any,31.30%,78.80%,47.50%,62700,199900,2780600,3526900
2010,3,England,40 to 44,Any,35.10%,81%,45.90%,84500,241000,3138500,3876300
2010,3,England,45 to 49,Any,35.50%,83%,47.60%,91000,256600,3154700,3799300
2010,3,England,50 to 54,Any,30.40%,80.20%,49.80%,75300,247900,2646200,3301700
2010,3,England,55 to 59,Any,27.30%,71.90%,44.60%,64000,234800,2115100,2942400
2010,3,England,60 to 64,Any,11.90%,45.50%,33.60%,24300,204000,1411600,3104200
2010,2,England,16 to 19,Any,20.60%,35.80%,15.20%,23100,112200,930000,2598300
2010,2,England,20 to 24,Any,31%,61.90%,30.90%,55800,180000,2189100,3538900
2010,2,England,25 to 29,Any,36.30%,77.60%,41.30%,53300,146900,2776800,3578700
2010,2,England,30 to 34,Any,35.30%,79.10%,43.80%,52000,147500,2593100,3279200
2010,2,England,35 to 39,Any,27.90%,79.10%,51.20%,58100,208400,2811100,3552900
2010,2,England,40 to 44,Any,36.20%,81.40%,45.20%,86300,238600,3162700,3886200
2010,2,England,45 to 49,Any,34.20%,82.50%,48.30%,88000,257600,3120100,3782900
2010,2,England,50 to 54,Any,32.70%,80%,47.30%,82400,252200,2623200,3280000
2010,2,England,55 to 59,Any,26.90%,71.20%,44.30%,61300,228000,2095500,2942700
2010,2,England,60 to 64,Any,14.10%,44.80%,30.60%,30500,215600,1388900,3103800
2010,1,England,16 to 19,Any,20.50%,35.40%,14.90%,22100,107800,922500,2608000
2010,1,England,20 to 24,Any,31.80%,60.70%,28.90%,59200,185900,2138200,3521600
2010,1,England,25 to 29,Any,38.20%,76.20%,38%,56300,147400,2705300,3548400
2010,1,England,30 to 34,Any,36%,78.90%,42.90%,54900,152800,2578200,3267700
2010,1,England,35 to 39,Any,29.20%,79%,49.80%,54800,187700,2825300,3575200
2010,1,England,40 to 44,Any,35%,81.70%,46.60%,80500,229700,3184300,3898800
2010,1,England,45 to 49,Any,32.40%,82.20%,49.80%,78600,242200,3092400,3761800
2010,1,England,50 to 54,Any,30.80%,79.80%,49%,71600,232300,2604000,3261600
2010,1,England,55 to 59,Any,31.30%,72%,40.70%,70300,224900,2122600,2949800
2010,1,England,60 to 64,Any,13.30%,45.10%,31.80%,25500,192300,1397100,3099800
2011,4,England,16 to 19,Any,17.60%,34.50%,16.90%,23200,131700,868600,2519500
2011,4,England,20 to 24,Any,30%,62.10%,32.20%,52300,174700,2229300,3588200
2011,4,England,25 to 29,Any,32.30%,76.60%,44.30%,56900,176100,2842400,3712800
2011,4,England,30 to 34,Any,35.80%,79%,43.20%,65900,184100,2679200,3392900
2011,4,England,35 to 39,Any,32.40%,80.20%,47.80%,63500,195900,2717800,3388400
2011,4,England,40 to 44,Any,32.50%,82.10%,49.70%,80000,246400,3140700,3824200
2011,4,England,45 to 49,Any,37.70%,82.40%,44.70%,108700,288400,3182900,3864900
2011,4,England,50 to 54,Any,34.70%,80.90%,46.20%,94900,273100,2765700,3417600
2011,4,England,55 to 59,Any,25.20%,70.20%,45%,69300,275000,2082600,2968600
2011,4,England,60 to 64,Any,18.70%,43.80%,25.20%,43600,233600,1334100,3044700
2011,3,England,16 to 19,Any,17.20%,34.40%,17.20%,19700,115000,870600,2530700
2011,3,England,20 to 24,Any,26.80%,63.50%,36.70%,52200,194500,2274000,3583500
2011,3,England,25 to 29,Any,32.80%,76.60%,43.70%,53200,162100,2823600,3688300
2011,3,England,30 to 34,Any,33.90%,78.60%,44.70%,56200,165900,2649800,3372100
2011,3,England,35 to 39,Any,31.80%,79.80%,47.90%,63300,198700,2724300,3415400
2011,3,England,40 to 44,Any,32.30%,82.30%,49.90%,78400,242600,3157400,3837900
2011,3,England,45 to 49,Any,37.40%,81.80%,44.40%,108100,288800,3151000,3853700
2011,3,England,50 to 54,Any,31.10%,80.60%,49.50%,80300,257900,2735700,3395100
2011,3,England,55 to 59,Any,25.10%,69.50%,44.40%,69700,277400,2057300,2959000
2011,3,England,60 to 64,Any,16.30%,44.90%,28.60%,38400,235600,1382500,3078000
2011,2,England,16 to 19,Any,16.50%,33.10%,16.50%,21900,132700,841100,2545100
2011,2,England,20 to 24,Any,28.40%,62.40%,33.90%,49700,174600,2232400,3579900
2011,2,England,25 to 29,Any,32.70%,77.20%,44.50%,49000,150000,2829800,3667200
2011,2,England,30 to 34,Any,29.90%,79.20%,49.30%,45900,153800,2655900,3353000
2011,2,England,35 to 39,Any,30.20%,79.60%,49.40%,60800,201600,2739100,3443100
2011,2,England,40 to 44,Any,30.60%,81.70%,51.10%,75700,246900,3146600,3850000
2011,2,England,45 to 49,Any,34%,82%,48%,94300,277000,3151600,3842800
2011,2,England,50 to 54,Any,29.40%,79.70%,50.30%,79800,271800,2687600,3372300
2011,2,England,55 to 59,Any,25.30%,70.30%,44.90%,62600,247100,2073400,2951600
2011,2,England,60 to 64,Any,14.20%,45.20%,31%,33100,233300,1401600,3100400
2011,1,England,16 to 19,Any,17.50%,33.50%,16%,21300,121500,856700,2558700
2011,1,England,20 to 24,Any,31.80%,61.40%,29.60%,49200,154900,2190500,3570300
2011,1,England,25 to 29,Any,34.20%,78%,43.80%,50600,147800,2845400,3645900
2011,1,England,30 to 34,Any,34.20%,79.70%,45.50%,49800,145600,2656100,3333900
2011,1,England,35 to 39,Any,30.50%,80.10%,49.50%,60400,197900,2778500,3470900
2011,1,England,40 to 44,Any,31.10%,81.60%,50.50%,76100,244200,3148500,3858700
2011,1,England,45 to 49,Any,34.80%,82%,47.20%,88300,254000,3138500,3828300
2011,1,England,50 to 54,Any,29.60%,79.80%,50.30%,78900,266900,2672900,3348900
2011,1,England,55 to 59,Any,22.90%,70.90%,48%,56800,248000,2091600,2948600
2011,1,England,60 to 64,Any,13.40%,45.20%,31.80%,28500,213100,1400800,3101700
2012,4,England,16 to 19,Any,20.50%,35.10%,14.60%,28100,136800,871800,2482700
2012,4,England,20 to 24,Any,36.40%,63.50%,27.10%,77600,213100,2278300,3589700
2012,4,England,25 to 29,Any,39.10%,77.70%,38.60%,74500,190400,2961200,3809800
2012,4,England,30 to 34,Any,39.30%,80.80%,41.50%,64800,164700,2812800,3480000
2012,4,England,35 to 39,Any,43.60%,81.40%,37.80%,78300,179500,2686400,3300000
2012,4,England,40 to 44,Any,38.80%,82.50%,43.70%,98100,252700,3105300,3763200
2012,4,England,45 to 49,Any,33.20%,83%,49.80%,94500,284700,3229100,3890500
2012,4,England,50 to 54,Any,33.60%,81.80%,48.30%,98600,293800,2868700,3506400
2012,4,England,55 to 59,Any,31.90%,72.20%,40.30%,91600,286800,2177900,3016500
2012,4,England,60 to 64,Any,16.30%,46.20%,29.90%,38200,234400,1352600,2928100
2012,3,England,16 to 19,Any,19.90%,36.40%,16.60%,23700,119300,906500,2488200
2012,3,England,20 to 24,Any,31.90%,64.20%,32.30%,73300,229700,2307500,3595500
2012,3,England,25 to 29,Any,38.80%,76.50%,37.60%,69700,179400,2894700,3786100
2012,3,England,30 to 34,Any,37.60%,80.60%,43%,63900,169900,2785700,3456500
