Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Indicator value,Mental illness numerator,Mental illness denominator,Population numerator,Population denominator
2008,3,London ,All,Any,20.20%,70.10%,49.90%,43500,215400,3701700,5277500
2008,3,Merseyside ,All,Any,16.80%,64.70%,47.90%,10600,63200,560000,865200
2008,3,North East ,All,Any,22.30%,68.50%,46.20%,30400,136600,1137800,1661900
2008,3,North West ,All,Any,22.90%,71%,48.10%,44800,195900,2519800,3551000
2008,3,South East ,All,Any,36.80%,77.40%,40.60%,92800,252400,4113400,5317700
2008,3,South West ,All,Any,36.90%,76.90%,39.90%,63500,171900,2499400,3251900
2008,3,West Midlands ,All,Any,25.60%,70.10%,44.40%,46400,180900,2404800,3432800
2008,3,Yorkshire & Humberside ,All,Any,27.90%,71.90%,44%,49900,179100,2430900,3383200
2008,2,East Midlands ,All,Any,30.50%,72.80%,42.30%,41000,134400,2078000,2855300
2008,2,Eastern ,All,Any,30.50%,75.40%,44.90%,44900,147300,2727600,3619800
2008,2,London ,All,Any,18%,70.70%,52.80%,39800,221300,3724600,5265000
2008,2,Merseyside ,All,Any,17.20%,64.40%,47.20%,11100,64200,552700,858100
2008,2,North East ,All,Any,19.30%,68.10%,48.80%,23800,123100,1129500,1659300
2008,2,North West ,All,Any,22.70%,71.30%,48.70%,41000,180800,2536600,3555600
2008,2,South East ,All,Any,40.90%,77.50%,36.50%,105900,258800,4112500,5309700
2008,2,South West ,All,Any,33.80%,76.20%,42.40%,59300,175200,2477000,3250800
2008,2,West Midlands ,All,Any,27%,70.40%,43.40%,47600,176800,2413700,3431000
2008,2,Yorkshire & Humberside ,All,Any,27.10%,71.10%,44%,51100,188800,2399200,3376300
2008,1,East Midlands ,All,Any,32.20%,73.80%,41.60%,45900,142800,2103200,2850800
2008,1,Eastern ,All,Any,30.60%,75.50%,44.80%,43600,142400,2723900,3609700
2008,1,London ,All,Any,22.10%,70.40%,48.30%,51400,232600,3700900,5254200
2008,1,Merseyside ,All,Any,14.40%,63.20%,48.90%,8300,58100,533700,844000
2008,1,North East ,All,Any,19.80%,68.20%,48.40%,23000,116600,1129500,1656800
2008,1,North West ,All,Any,24%,71.50%,47.50%,49700,207100,2550800,3568000
2008,1,South East ,All,Any,41.30%,77.20%,35.90%,105800,256400,4091000,5299300
2008,1,South West ,All,Any,32.40%,76.40%,44%,59000,181700,2482100,3247900
2008,1,West Midlands ,All,Any,25.70%,71.20%,45.50%,42500,165600,2439000,3427400
2008,1,Yorkshire & Humberside ,All,Any,24.20%,71.60%,47.40%,46500,192200,2410600,3369200
2009,4,East Midlands ,All,Any,32.90%,72.60%,39.70%,47300,143700,2080300,2864000
2009,4,Eastern ,All,Any,31.50%,74.10%,42.60%,49700,158000,2702800,3649300
2009,4,London ,All,Any,27.10%,68.20%,41.20%,63400,234400,3662000,5368400
2009,4,Merseyside ,All,Any,18%,64.10%,46.10%,12500,69400,556300,867600
2009,4,North East ,All,Any,25.40%,67.30%,41.90%,30500,120000,1125700,1672900
2009,4,North West ,All,Any,22%,69.60%,47.60%,50300,228800,2480300,3562100
2009,4,South East ,All,Any,37.50%,75.30%,37.80%,93700,250000,4029800,5352300
2009,4,South West ,All,Any,28%,73.50%,45.50%,49600,177000,2394900,3256600
2009,4,West Midlands ,All,Any,26.30%,69.20%,42.90%,49500,188400,2377200,3436100
2009,4,Yorkshire & Humberside ,All,Any,25.70%,69.10%,43.40%,53500,208300,2356800,3412700
2009,3,East Midlands ,All,Any,29.10%,73.20%,44.20%,42700,147000,2096100,2862400
2009,3,Eastern ,All,Any,33.20%,75.10%,41.90%,51500,155400,2737000,3646400
2009,3,London ,All,Any,23.60%,68.10%,44.50%,53200,225500,3634000,5339500
2009,3,Merseyside ,All,Any,14.10%,65%,50.80%,10700,75500,568600,875400
2009,3,North East ,All,Any,22.90%,66.30%,43.50%,29600,129600,1109000,1671800
2009,3,North West ,All,Any,22.10%,69.70%,47.60%,47300,214400,2473800,3551700
2009,3,South East ,All,Any,34.50%,75.30%,40.80%,84900,246000,4023800,5345900
2009,3,South West ,All,Any,33.10%,73.80%,40.70%,57300,173000,2401900,3254000
2009,3,West Midlands ,All,Any,29.80%,68.40%,38.60%,58200,195300,2349300,3435400
2009,3,Yorkshire & Humberside ,All,Any,24.50%,69.70%,45.20%,49000,200200,2373800,3408300
2009,2,East Midlands ,All,Any,27.20%,72.40%,45.20%,39400,145000,2072400,2861000
2009,2,Eastern ,All,Any,32.60%,74.70%,42.10%,45400,139400,2720100,3642700
2009,2,London ,All,Any,22.70%,67.90%,45.20%,49400,217400,3608600,5315800
2009,2,Merseyside ,All,Any,16.30%,66.90%,50.60%,10900,67000,587500,878000
2009,2,North East ,All,Any,24.80%,64.70%,40%,33700,136000,1081300,1670100
2009,2,North West ,All,Any,23.90%,69.50%,45.60%,52800,220800,2464900,3547000
2009,2,South East ,All,Any,37.20%,75.20%,37.90%,90400,242800,4013500,5339300
2009,2,South West ,All,Any,30.40%,74%,43.60%,50100,164800,2407800,3252500
2009,2,West Midlands ,All,Any,28.80%,68.10%,39.40%,57700,200600,2339500,3434700
2009,2,Yorkshire & Humberside ,All,Any,26.30%,68.70%,42.40%,49500,188200,2336800,3403100
2009,1,East Midlands ,All,Any,32.10%,72.90%,40.80%,41800,130200,2084200,2859800
2009,1,Eastern ,All,Any,33.80%,75.50%,41.80%,48800,144600,2746700,3637300
2009,1,London ,All,Any,23.20%,69.40%,46.20%,52900,227500,3681500,5303100
2009,1,Merseyside ,All,Any,17.20%,65.60%,48.30%,10300,60000,572400,873100
2009,1,North East ,All,Any,24.80%,67.30%,42.60%,32400,130600,1122800,1667400
2009,1,North West ,All,Any,22.80%,70.20%,47.40%,46800,204900,2492400,3548700
2009,1,South East ,All,Any,34.30%,75.70%,41.50%,79000,230400,4038300,5332300
2009,1,South West ,All,Any,35.80%,75.40%,39.60%,63100,176500,2451100,3252200
2009,1,West Midlands ,All,Any,27%,68.20%,41.20%,52000,192900,2342500,3434100
2009,1,Yorkshire & Humberside ,All,Any,29.60%,69%,39.40%,56100,189700,2342900,3396400
2010,4,East Midlands ,All,Any,31.20%,71%,39.80%,46400,148500,2039400,2871400
2010,4,Eastern ,All,Any,33.50%,74.20%,40.70%,62700,186900,2719900,3663800
2010,4,London ,All,Any,30%,68.90%,38.90%,77600,258600,3766200,5466400
2010,4,Merseyside ,All,Any,18.20%,64.70%,46.60%,10600,58400,552500,853500
2010,4,North East ,All,Any,20.60%,65.90%,45.30%,26600,129000,1104600,1676400
2010,4,North West ,All,Any,25.10%,70.40%,45.20%,61300,243900,2519600,3581400
2010,4,South East ,All,Any,37.60%,75.20%,37.60%,109300,290600,4045200,5378500
2010,4,South West ,All,Any,28.20%,74.20%,46%,50300,178400,2424600,3267200
2010,4,West Midlands ,All,Any,25.10%,68.20%,43.10%,53800,214200,2347500,3440200
2010,4,Yorkshire & Humberside ,All,Any,24.70%,68.30%,43.60%,57200,231200,2341200,3428000
2010,3,East Midlands ,All,Any,31.10%,71.10%,40%,50500,162100,2040200,2869000
2010,3,Eastern ,All,Any,30.80%,74.20%,43.40%,55800,181400,2713400,3659200
2010,3,London ,All,Any,29.80%,69%,39.30%,75600,254100,3759500,5448100
2010,3,Merseyside ,All,Any,22.20%,64.40%,42.30%,13700,61800,553300,858800
2010,3,North East ,All,Any,22.90%,68.40%,45.60%,28500,124800,1146800,1675900
2010,3,North West ,All,Any,26.60%,70.60%,43.90%,68300,256600,2522800,3575900
2010,3,South East ,All,Any,38.80%,75.60%,36.80%,115000,296700,4058400,5371800
2010,3,South West ,All,Any,29.60%,74.90%,45.30%,54100,182500,2445900,3264200
2010,3,West Midlands ,All,Any,28.20%,69.40%,41.30%,56200,199400,2387900,3438900
2010,3,Yorkshire & Humberside ,All,Any,26%,68.80%,42.80%,59900,230100,2357500,3424600
2010,2,East Midlands ,All,Any,28.40%,70.20%,41.80%,47800,168200,2013700,2867100
2010,2,Eastern ,All,Any,33.30%,73.10%,39.90%,59100,177700,2672000,3655200
2010,2,London ,All,Any,29%,68%,39%,80000,275600,3692400,5426500
2010,2,Merseyside ,All,Any,19.70%,64.40%,44.70%,12400,62800,558600,867200
2010,2,North East ,All,Any,23.80%,67.10%,43.20%,30400,127400,1123300,1675200
2010,2,North West ,All,Any,26.30%,70.20%,43.90%,63500,241700,2502100,3566800
2010,2,South East ,All,Any,39.10%,74.30%,35.20%,115600,295700,3985800,5365100
2010,2,South West ,All,Any,30.60%,73.50%,42.80%,59500,194400,2396100,3261400
2010,2,West Midlands ,All,Any,26.60%,69%,42.40%,56700,213000,2372700,3438000
2010,2,Yorkshire & Humberside ,All,Any,28.50%,69.40%,40.90%,65800,230500,2373900,3421300
2010,1,East Midlands ,All,Any,31.60%,70.60%,39%,48300,152800,2022800,2865500
2010,1,Eastern ,All,Any,31.70%,73.20%,41.60%,50900,160700,2674500,3652100
2010,1,London ,All,Any,30%,67.90%,37.90%,79400,264600,3663800,5397600
2010,1,Merseyside ,All,Any,21.60%,64.90%,43.20%,15000,69400,565300,871400
2010,1,North East ,All,Any,25.20%,66.40%,41.20%,33300,132200,1110800,1674100
2010,1,North West ,All,Any,24.60%,69.50%,44.90%,56800,231100,2472200,3558100
2010,1,South East ,All,Any,41%,74.60%,33.60%,110300,269300,3997000,5358800
2010,1,South West ,All,Any,30.50%,72.80%,42.30%,57100,187200,2371600,3258900
2010,1,West Midlands ,All,Any,26.90%,68.60%,41.60%,56100,208400,2357500,3439400
2010,1,Yorkshire & Humberside ,All,Any,29.20%,68.30%,39.10%,66400,227300,2334500,3416900
2011,4,East Midlands ,All,Any,33%,71.40%,38.40%,59000,178800,2056500,2878600
2011,4,Eastern ,All,Any,40.70%,74.90%,34.20%,90900,223500,2776300,3709000
2011,4,London ,All,Any,24.10%,67.50%,43.40%,67400,279400,3651200,5407600
2011,4,Merseyside ,All,Any,21.20%,64%,42.90%,17500,82700,552000,862200
2011,4,North East ,All,Any,21.60%,66.60%,45%,28600,132300,1128100,1693600
2011,4,North West ,All,Any,22.90%,70.10%,47.20%,55000,240300,2512600,3584200
2011,4,South East ,All,Any,37.50%,74.40%,36.90%,124500,332300,4028000,5415300
2011,4,South West ,All,Any,35.40%,74.30%,38.90%,76400,215700,2437300,3280400
2011,4,West Midlands ,All,Any,28.60%,68.40%,39.70%,68300,238600,2349900,3438200
2011,4,Yorkshire & Humberside ,All,Any,27.70%,68.10%,40.40%,70700,255500,2351500,3452800
2011,3,East Midlands ,All,Any,34.70%,72.20%,37.50%,58100,167500,2077900,2879500
2011,3,Eastern ,All,Any,35.90%,74.30%,38.40%,73400,204400,2752200,3705800
2011,3,London ,All,Any,24.20%,67.80%,43.60%,64700,267200,3663700,5400400
2011,3,Merseyside ,All,Any,23.90%,66.10%,42.20%,18000,75500,565400,855700
2011,3,North East ,All,Any,19.20%,65.50%,46.30%,26900,140200,1109600,1693700
2011,3,North West ,All,Any,25.40%,69.60%,44.30%,66400,261900,2502800,3593900
2011,3,South East ,All,Any,36.10%,74.50%,38.40%,116200,321700,4031700,5412600
2011,3,South West ,All,Any,34.70%,74.20%,39.50%,71900,207400,2433900,3280900
2011,3,West Midlands ,All,Any,26.80%,68%,41.30%,65600,245000,2340400,3439700
2011,3,Yorkshire & Humberside ,All,Any,23.50%,68.10%,44.60%,58200,247800,2348700,3451600
2011,2,East Midlands ,All,Any,35.70%,71.70%,36%,58700,164300,2062400,2876000
2011,2,Eastern ,All,Any,37%,74.60%,37.70%,72600,196600,2741600,3673200
2011,2,London ,All,Any,23.50%,68.10%,44.60%,61700,262500,3745400,5502400
2011,2,Merseyside ,All,Any,19.40%,66%,46.60%,13700,70400,572100,866400
2011,2,North East ,All,Any,19.60%,66%,46.40%,26000,132800,1106200,1677200
2011,2,North West ,All,Any,23.80%,69%,45.20%,62700,264200,2461400,3568700
2011,2,South East ,All,Any,33.20%,74.70%,41.50%,101100,304400,4025400,5391700
2011,2,South West ,All,Any,28.90%,72.60%,43.70%,58300,201500,2374800,3273100
2011,2,West Midlands ,All,Any,23.70%,67.90%,44.10%,56600,238600,2335800,3442400
2011,2,Yorkshire & Humberside ,All,Any,24.20%,68%,43.80%,61400,253600,2334100,3434400
2011,1,East Midlands ,All,Any,35.90%,71.50%,35.60%,55000,153100,2055500,2873700
2011,1,Eastern ,All,Any,36.50%,74.40%,37.90%,64700,177400,2730500,3668600
2011,1,London ,All,Any,25.90%,68.90%,42.90%,70800,272900,3777400,5484400
2011,1,Merseyside ,All,Any,17.40%,65.30%,47.90%,11000,63200,555600,850700
2011,1,North East ,All,Any,19.50%,65.10%,45.60%,25000,128100,1092200,1676800
2011,1,North West ,All,Any,24.70%,69.40%,44.70%,62500,253200,2486600,3584300
2011,1,South East ,All,Any,35.30%,74.70%,39.40%,102900,291800,4022400,5385000
2011,1,South West ,All,Any,31.90%,73%,41.10%,59400,185900,2387700,3270100
2011,1,West Midlands ,All,Any,19.90%,67.60%,47.70%,44400,222900,2327100,3441100
2011,1,Yorkshire & Humberside ,All,Any,26.10%,68.30%,42.30%,63900,245200,2344400,3431200
2012,4,East Midlands,All,Any,32.70%,71.50%,38.80%,66700,204100,2057700,2876700
2012,4,Eastern,All,Any,39.20%,75%,35.80%,77000,196300,2792200,3723600
2012,4,London,All,Any,30.70%,70.40%,39.60%,85500,278300,3826200,5438800
2012,4,Merseyside,All,Any,24.90%,69.40%,44.50%,17000,68300,593300,854900
2012,4,North East,All,Any,25.10%,68%,42.90%,42500,169400,1152200,1694800
2012,4,North West,All,Any,24.10%,70.10%,46%,65400,271300,2510600,3581500
2012,4,South East,All,Any,42.70%,75.10%,32.50%,140700,329800,4079300,5428700
2012,4,South West,All,Any,37.90%,75.20%,37.20%,91000,239700,2465500,3280500
2012,4,West Midlands,All,Any,33.80%,71.10%,37.40%,73100,216500,2439600,3429900
2012,4,Yorkshire & Humberside,All,Any,32.50%,70.20%,37.70%,85600,263400,2427500,3457700
2012,3,East Midlands ,All,Any,28.40%,71.90%,43.50%,59700,210500,2067100,2876700
2012,3,Eastern ,All,Any,41.90%,74.80%,32.90%,84800,202500,2780600,3719100
2012,3,London ,All,Any,29.30%,69.70%,40.40%,81200,276800,3786900,5430200
2012,3,Merseyside ,All,Any,16.70%,66.90%,50.20%,12200,73600,579500,866300
2012,3,North East ,All,Any,24.80%,68.50%,43.70%,37000,149600,1159900,1694100
2012,3,North West ,All,Any,29%,70.90%,41.90%,77900,268600,2531300,3571900
2012,3,South East ,All,Any,42%,74.90%,32.90%,144800,345200,4062300,5424400
2012,3,South West ,All,Any,35.40%,75%,39.50%,79300,223700,2459200,3279800
2012,3,West Midlands ,All,Any,31.30%,70.10%,38.80%,68700,219600,2405400,3431500
2012,3,Yorkshire & Humberside ,All,Any,31.60%,70.20%,38.60%,82900,262700,2425500,3456000
2012,2,East Midlands ,All,Any,26.90%,71.20%,44.40%,55400,206200,2049100,2877100
2012,2,Eastern ,All,Any,44%,74.70%,30.80%,86300,196300,2775800,3715100
2012,2,London ,All,Any,27.70%,68.80%,41.10%,75700,273900,3728600,5422100
2012,2,Merseyside ,All,Any,14.30%,67.20%,52.90%,10300,72100,583100,867800
2012,2,North East ,All,Any,22.10%,66.20%,44.10%,29700,134300,1121400,1693800
2012,2,North West ,All,Any,28.80%,70.20%,41.50%,71200,247700,2509300,3572600
2012,2,South East ,All,Any,38.80%,74.40%,35.60%,130500,336100,4032900,5420600
2012,2,South West ,All,Any,34.70%,73.90%,39.20%,74500,214500,2424500,3279600
2012,2,West Midlands ,All,Any,28.20%,68.60%,40.40%,62500,221500,2354700,3433400
2012,2,Yorkshire & Humberside ,All,Any,30.20%,69.40%,39.20%,79100,262000,2397200,3454700
2012,1,East Midlands ,All,Any,29.50%,71.90%,42.40%,55700,189000,2068500,2877800
2012,1,Eastern ,All,Any,41.90%,74.80%,32.90%,93000,221900,2776100,3711900
2012,1,London ,All,Any,21.50%,67.40%,45.80%,58400,271500,3647500,5414900
2012,1,Merseyside ,All,Any,16.40%,64.50%,48.10%,12800,78200,558700,866100
2012,1,North East ,All,Any,23.70%,66.60%,42.80%,33000,139000,1127200,1693700
2012,1,North West ,All,Any,24.70%,68.60%,44%,63900,259100,2455300,3577400
2012,1,South East ,All,Any,40.20%,74.80%,34.60%,140000,348200,4051100,5418000
2012,1,South West ,All,Any,29.70%,72.70%,42.90%,64700,217700,2384000,3280100
2012,1,West Midlands ,All,Any,26.90%,68.70%,41.80%,59400,221200,2360300,3435800
2012,1,Yorkshire & Humberside ,All,Any,28.60%,68.70%,40.10%,74200,259800,2371400,3453600
2013,4,East Midlands,All,Any,38.70%,72.80%,34%,86800,224300,2096300,2881400
2013,4,Eastern,All,Any,39%,75.90%,36.80%,100300,256800,2838600,3741300
2013,4,London,All,Any,31.30%,71.50%,40.20%,86400,276600,3909700,5468800
2013,4,Merseyside,All,Any,21.30%,66.80%,45.50%,18100,84900,570000,853500
2013,4,North East,All,Any,33.20%,67.90%,34.70%,59600,179400,1154200,1699100
2013,4,North West,All,Any,29.10%,69.50%,40.40%,95100,327200,2493000,3586700
2013,4,South East,All,Any,45%,76.80%,31.80%,168800,375000,4184100,5449500
2013,4,South West,All,Any,39.50%,75.20%,35.60%,105600,267300,2471500,3288400
2013,4,West Midlands,All,Any,31.80%,69.70%,37.90%,73900,232200,2392800,3432800
2013,4,Yorkshire & Humberside,All,Any,34.60%,71.20%,36.60%,98600,285000,2469400,3467700
2013,3,East Midlands,All,Any,36.10%,73%,36.90%,78600,217900,2101300,2878400
2013,3,Eastern,All,Any,41.60%,75.70%,34%,109500,263000,2827300,3736800
2013,3,London,All,Any,30.60%,70.60%,40%,85500,279000,3858700,5462800
2013,3,Merseyside,All,Any,21.80%,65.60%,43.80%,17600,80600,558300,851100
2013,3,North East,All,Any,29%,68%,39%,50000,172500,1154000,1697300
2013,3,North West,All,Any,29.70%,69.40%,39.70%,93500,314600,2489100,3584300
2013,3,South East,All,Any,43%,76.50%,33.60%,161400,375800,4164800,5443300
2013,3,South West,All,Any,40.10%,75%,34.90%,107200,267500,2464200,3284600
2013,3,West Midlands,All,Any,31.50%,68.60%,37.10%,77000,244500,2351700,3428900
2013,3,Yorkshire & Humberside,All,Any,34.60%,71.20%,36.60%,102900,297600,2465000,3464200
2013,2,East Midlands,All,Any,32%,70.90%,38.90%,69800,218100,2040400,2876500
2013,2,Eastern,All,Any,40.80%,75.50%,34.70%,88800,217900,2818800,3732500
2013,2,London,All,Any,28.80%,69.90%,41.10%,75400,262000,3812800,5456000
2013,2,Merseyside,All,Any,22.40%,69.50%,47%,15200,67600,586700,844400
2013,2,North East,All,Any,29%,66.10%,37%,47000,161900,1120200,1695800
2013,2,North West,All,Any,28%,69%,41%,86000,307300,2476100,3588600
2013,2,South East,All,Any,40.90%,75.60%,34.70%,144500,353400,4108600,5437500
2013,2,South West,All,Any,34.30%,73.70%,39.40%,94400,274900,2419900,3281800
2013,2,West Midlands,All,Any,32.20%,68.80%,36.70%,72200,224300,2359400,3427000
2013,2,Yorkshire & Humberside,All,Any,33.70%,70.20%,36.50%,93000,275800,2430200,3461300
2013,1,East Midlands,All,Any,33.30%,70.50%,37.20%,69100,207500,2027600,2876500
2013,1,Eastern,All,Any,38.10%,74.50%,36.50%,72700,191000,2778400,3728000
2013,1,London,All,Any,29.20%,70.30%,41.10%,76900,263100,3828300,5447500
2013,1,Merseyside,All,Any,25.80%,68.40%,42.60%,15000,58300,572400,837000
2013,1,North East,All,Any,27.50%,66.20%,38.80%,49700,181100,1122600,1695400
2013,1,North West,All,Any,24.50%,68.80%,44.30%,71500,291700,2475500,3597600
2013,1,South East,All,Any,39.50%,74.50%,35.10%,128400,325500,4047800,5433100
2013,1,South West,All,Any,37.20%,74%,36.80%,95900,258200,2426900,3281200
2013,1,West Midlands,All,Any,31.50%,69.70%,38.20%,65200,206800,2388800,3428500
2013,1,Yorkshire & Humberside,All,Any,31.40%,70.30%,38.90%,77400,246900,2431800,3459500
2014,1,East Midlands,All,Any,36.80%,72.70%,35.90%,87700,238700,2096300,2884500
2014,1,Eastern,All,Any,39.60%,76.10%,36.40%,102200,257700,2850100,3745800
2014,1,London,All,Any,32.90%,71.70%,38.80%,90300,275000,3925600,5474700
2014,1,Merseyside,All,Any,17.70%,68.10%,50.40%,17000,96100,580200,852200
2014,1,North East,All,Any,33.50%,68.90%,35.40%,55700,166000,1172800,1701000
2014,1,North West,All,Any,28.30%,69.70%,41.50%,92100,325700,2505500,3592700
2014,1,South East,All,Any,44.60%,75.90%,31.40%,171900,385700,4143300,5455900
2014,1,South West,All,Any,43.40%,75.50%,32.10%,115000,265300,2484800,3292200
2014,1,West Midlands,All,Any,33%,70.10%,37.10%,81500,246700,2408500,3436400
2014,1,Yorkshire & Humberside,All,Any,36.60%,71.20%,34.60%,103900,284100,2472300,3471000