Year,Quarter,Region,Age,Gender,Employment rate of people with mental illness,Employment rate of population ,Composite Year
2010,2,England,40 to 44,Any,36,81,'10
2010,2,England,45 to 49,Any,34,82,'10
2010,2,England,50 to 54,Any,32,80,'10
2010,2,England,55 to 59,Any,26,71,'10
2010,2,England,60 to 64,Any,14,44,'10
2010,1,England,16 to 19,Any,20,35,'10
2010,1,England,20 to 24,Any,31,60,'10
2010,1,England,25 to 29,Any,38,76,'10
2010,1,England,30 to 34,Any,36,78,'10
2010,1,England,35 to 39,Any,29,79,'10
2010,1,England,40 to 44,Any,35,81,'10
2010,1,England,45 to 49,Any,32,82,'10
2010,1,England,50 to 54,Any,30,79,'10
2010,1,England,55 to 59,Any,31,72,'10
2010,1,England,60 to 64,Any,11,45,'10
2010,4,England,All,Any,28,71,'10
2010,3,England,All,Any,29,71,'10
2010,2,England,All,Any,29,70,'10
2010,1,England,All,Any,30,70,'10
2010,4,England,All,Female,30,65,'10
2010,4,England,All,Male,26,65,'10
2010,3,England,All,Female,30,65,'10
2010,3,England,All,Male,28,77,'10
2010,2,England,All,Female,30,65,'10
2010,2,England,All,Male,28,75,'10
2010,1,England,All,Female,30,65,'10
2010,1,England,All,Male,28,75,'10
2010,4,London ,All,Any,30,68,'10
2010,3,London ,All,Any,29,69,'10
2010,2,London ,All,Any,29,68,'10
2010,1,London ,All,Any,30,67,'10
2010,4,Merseyside ,All,Any,18,64,'10
2010,3,Merseyside ,All,Any,22,64,'10
2010,2,Merseyside ,All,Any,19,64,'10
2010,1,Merseyside ,All,Any,21,64,'10
2010,4,North East ,All,Any,20,65,'10
2010,3,North East ,All,Any,22,68,'10
2010,2,North East ,All,Any,23,67,'10
2010,1,North East ,All,Any,25,66,'10
2010,4,North West ,All,Any,25,70,'10
2010,3,North West ,All,Any,26,70,'10
2010,2,North West ,All,Any,26,70,'10
2010,1,North West ,All,Any,24,69,'10
2010,4,South East ,All,Any,37,75,'10
2010,3,South East ,All,Any,38,75,'10
2010,2,South East ,All,Any,39,74,'10
2010,1,South East ,All,Any,41,74,'10
2010,4,South West ,All,Any,28,74,'10
2010,3,South West ,All,Any,29,74,'10
2010,2,South West ,All,Any,30,73,'10
2010,1,South West ,All,Any,30,72,'10
2010,4,West Midlands ,All,Any,25,68,'10
2010,3,West Midlands ,All,Any,28,69,'10
2010,2,West Midlands ,All,Any,26,69,'10
2010,1,West Midlands ,All,Any,26,68,'10
2010,4,Yorkshire,All,Any,24,68,'10
2010,3,Yorkshire,All,Any,26,68,'10
2010,2,Yorkshire,All,Any,28,69,'10
2010,1,Yorkshire,All,Any,29,68,'10
2011,4,East Midlands ,All,Any,33,71,'11
2011,3,East Midlands ,All,Any,34,72,'11
2011,2,East Midlands ,All,Any,35,71,'11
2011,1,East Midlands ,All,Any,35,71,'11
2011,4,Eastern ,All,Any,40,74,'11
2011,3,Eastern ,All,Any,35,74,'11
2011,2,Eastern ,All,Any,37,74,'11
2011,1,Eastern ,All,Any,36,74,'11
2011,4,England,16 to 19,Any,17,34,'11
2011,4,England,20 to 24,Any,30,62,'11
2011,4,England,25 to 29,Any,32,76,'11
2011,4,England,30 to 34,Any,35,79,'11
2011,4,England,35 to 39,Any,32,80,'11
2011,4,England,40 to 44,Any,32,82,'11
2011,4,England,45 to 49,Any,37,82,'11
2011,4,England,50 to 54,Any,34,80,'11
2011,4,England,55 to 59,Any,25,70,'11
2011,4,England,60 to 64,Any,18,43,'11
2011,3,England,16 to 19,Any,17,34,'11
2011,3,England,20 to 24,Any,26,63,'11
2011,3,England,25 to 29,Any,32,76,'11
2011,3,England,30 to 34,Any,33,78,'11
2011,3,England,35 to 39,Any,31,79,'11
2011,3,England,40 to 44,Any,32,82,'11
2011,3,England,45 to 49,Any,37,81,'11
2011,3,England,50 to 54,Any,31,80,'11
2011,3,England,55 to 59,Any,25,69,'11
2011,3,England,60 to 64,Any,16,44,'11
2011,2,England,16 to 19,Any,16,33,'11
2011,2,England,20 to 24,Any,28,62,'11
2011,2,England,25 to 29,Any,32,77,'11
2011,2,England,30 to 34,Any,29,79,'11
2011,2,England,35 to 39,Any,30,79,'11
2011,2,England,40 to 44,Any,30,81,'11
2011,2,England,45 to 49,Any,34,82,'11
2011,2,England,50 to 54,Any,29,79,'11
2011,2,England,55 to 59,Any,25,70,'11
2011,2,England,60 to 64,Any,14,45,'11
2011,1,England,16 to 19,Any,17,33,'11
2011,1,England,20 to 24,Any,31,61,'11
2011,1,England,25 to 29,Any,34,78,'11
2011,1,England,30 to 34,Any,34,79,'11
2011,1,England,35 to 39,Any,30,80,'11
2011,1,England,40 to 44,Any,31,81,'11
2011,1,England,45 to 49,Any,34,82,'11
2011,1,England,50 to 54,Any,29,79,'11
2011,1,England,55 to 59,Any,22,70,'11
2011,1,England,60 to 64,Any,13,45,'11
2011,4,England,All,Any,30,70,'11
2011,3,England,All,Any,29,70,'11
2011,2,England,All,Any,27,70,'11
2011,1,England,All,Any,28,70,'11
2011,4,England,All,Female,29,65,'11
2011,4,England,All,Male,27,75,'11
2011,3,England,All,Female,31,65,'11
2011,3,England,All,Male,26,76,'11
2011,2,England,All,Female,29,65,'11
2011,2,England,All,Male,25,75,'11
2011,1,England,All,Female,30,65,'11
2011,1,England,All,Male,25,75,'11
2011,4,London ,All,Any,24,67,'11
2011,3,London ,All,Any,24,67,'11
2011,2,London ,All,Any,23,68,'11
2011,1,London ,All,Any,25,68,'11
2011,4,Merseyside ,All,Any,21,64,'11
2011,3,Merseyside ,All,Any,23,66,'11
2011,2,Merseyside ,All,Any,19,66,'11
2011,1,Merseyside ,All,Any,17,65,'11
2011,4,North East ,All,Any,21,66,'11
2011,3,North East ,All,Any,19,65,'11
2011,2,North East ,All,Any,19,66,'11
2011,1,North East ,All,Any,19,65,'11
2011,4,North West ,All,Any,22,70,'11
2011,3,North West ,All,Any,25,69,'11
2011,2,North West ,All,Any,23,69,'11
2011,1,North West ,All,Any,24,68,'11
2011,4,South East ,All,Any,37,74,'11
2011,3,South East ,All,Any,36,74,'11
2011,2,South East ,All,Any,33,74,'11
2011,1,South East ,All,Any,35,75,'11
2011,4,South West ,All,Any,35,74,'11
2011,3,South West ,All,Any,34,74,'11
2011,2,South West ,All,Any,28,72,'11
2011,1,South West ,All,Any,31,73,'11
2011,4,West Midlands ,All,Any,28,68,'11
2011,3,West Midlands ,All,Any,26,68,'11
2011,2,West Midlands ,All,Any,23,67,'11
2011,1,West Midlands ,All,Any,19,67,'11
2011,4,Yorkshire,All,Any,27,68,'11
2011,3,Yorkshire,All,Any,23,68,'11
2011,2,Yorkshire,All,Any,24,68,'11
2011,1,Yorkshire,All,Any,26,68,'11
2012,4,East Midlands,All,Any,32,71,'12
2012,3,East Midlands ,All,Any,28,71,'12
2012,2,East Midlands ,All,Any,26,71,'12
2012,1,East Midlands ,All,Any,29,71,'12
2012,4,Eastern,All,Any,39,75,'12
2012,3,Eastern ,All,Any,41,74,'12
2012,2,Eastern ,All,Any,44,74,'12
2012,1,Eastern ,All,Any,41,74,'12
2012,4,England,16 to 19,Any,20,35,'12
2012,4,England,20 to 24,Any,36,63,'12
2012,4,England,25 to 29,Any,39,77,'12
2012,4,England,30 to 34,Any,39,80,'12
2012,4,England,35 to 39,Any,43,81,'12
2012,4,England,40 to 44,Any,38,82,'12
2012,4,England,45 to 49,Any,33,83,'12
2012,4,England,50 to 54,Any,33,81,'12
2012,4,England,55 to 59,Any,31,72,'12
2012,4,England,60 to 64,Any,16,46,'12
2012,3,England,16 to 19,Any,19,36,'12
2012,3,England,20 to 24,Any,31,64,'12
2012,3,England,25 to 29,Any,38,76,'12
2012,3,England,30 to 34,Any,37,80,'12
2012,3,England,35 to 39,Any,41,81,'12
2012,3,England,40 to 44,Any,37,82,'12
2012,3,England,45 to 49,Any,36,82,'12
2012,3,England,50 to 54,Any,34,80,'12
2012,3,England,55 to 59,Any,29,71,'12
2012,3,England,60 to 64,Any,15,46,'12
2012,2,England,16 to 19,Any,19,33,'12
2012,2,England,20 to 24,Any,30,61,'12
2012,2,England,25 to 29,Any,38,76,'12
2012,2,England,30 to 34,Any,35,79,'12
2012,2,England,35 to 39,Any,36,80,'12
2012,2,England,40 to 44,Any,36,82,'12
2012,2,England,45 to 49,Any,35,82,'12
2012,2,England,50 to 54,Any,30,80,'12
2012,2,England,55 to 59,Any,28,71,'12
2012,2,England,60 to 64,Any,17,45,'12
2012,1,England,16 to 19,Any,18,33,'12
2012,1,England,20 to 24,Any,25,60,'12
2012,1,England,25 to 29,Any,34,76,'12
2012,1,England,30 to 34,Any,34,79,'12
2012,1,England,35 to 39,Any,38,80,'12
2012,1,England,40 to 44,Any,33,82,'12
2012,1,England,45 to 49,Any,35,82,'12
2012,1,England,50 to 54,Any,33,80,'12
2012,1,England,55 to 59,Any,25,70,'12
2012,1,England,60 to 64,Any,14,44,'12
2012,4,England,All,Any,33,72,'12
2012,3,England,All,Any,32,71,'12
2012,2,England,All,Any,31,71,'12
2012,1,England,All,Any,29,70,'12
2012,4,England,All,Female,34,66,'12
2012,4,England,All,Male,32,77,'12
2012,3,England,All,Female,32,66,'12
2012,3,England,All,Male,32,77,'12
2012,2,England,All,Female,31,65,'12
2012,2,England,All,Male,31,76,'12
2012,1,England,All,Female,31,65,'12
2012,1,England,All,Male,27,75,'12
2012,4,London,All,Any,30,70,'12
2012,3,London ,All,Any,29,69,'12
2012,2,London ,All,Any,27,68,'12
2012,1,London ,All,Any,21,67,'12
2012,4,Merseyside,All,Any,24,69,'12
2012,3,Merseyside ,All,Any,16,66,'12
2012,2,Merseyside ,All,Any,14,67,'12
2012,1,Merseyside ,All,Any,16,64,'12
2012,4,North East,All,Any,25,68,'12
2012,3,North East ,All,Any,24,68,'12
2012,2,North East ,All,Any,22,66,'12
2012,1,North East ,All,Any,23,66,'12
2012,4,North West,All,Any,24,70,'12
2012,3,North West ,All,Any,29,70,'12
2012,2,North West ,All,Any,28,70,'12
2012,1,North West ,All,Any,24,68,'12
2012,4,South East,All,Any,42,75,'12
2012,3,South East ,All,Any,42,74,'12
2012,2,South East ,All,Any,38,74,'12
2012,1,South East ,All,Any,40,74,'12
2012,4,South West,All,Any,37,75,'12
2012,3,South West ,All,Any,35,75,'12
2012,2,South West ,All,Any,34,73,'12
2012,1,South West ,All,Any,29,72,'12
2012,4,West Midlands,All,Any,33,71,'12
2012,3,West Midlands ,All,Any,31,70,'12
2012,2,West Midlands ,All,Any,28,68,'12
2012,1,West Midlands ,All,Any,26,68,'12
2012,4,Yorkshire,All,Any,32,70,'12
2012,3,Yorkshire,All,Any,31,70,'12
2012,2,Yorkshire,All,Any,30,69,'12
2012,1,Yorkshire,All,Any,28,68,'12
2013,4,East Midlands,All,Any,38,72,'13
2013,3,East Midlands,All,Any,36,73,'13
2013,2,East Midlands,All,Any,32,70,'13
2013,1,East Midlands,All,Any,33,70,'13
2013,4,Eastern,All,Any,39,75,'13
2013,3,Eastern,All,Any,41,75,'13
2013,2,Eastern,All,Any,40,75,'13
2013,1,Eastern,All,Any,38,74,'13
2013,4,England,16 to 19,Any,15,33,'13
2013,4,England,20 to 24,Any,34,64,'13
2013,4,England,25 to 29,Any,39,78,'13
2013,4,England,30 to 34,Any,51,81,'13
2013,4,England,35 to 39,Any,44,82,'13
2013,4,England,40 to 44,Any,39,82,'13
2013,4,England,45 to 49,Any,36,82,'13
2013,4,England,50 to 54,Any,37,81,'13
2013,4,England,55 to 59,Any,33,73,'13
2013,4,England,60 to 64,Any,18,47,'13
2013,3,England,16 to 19,Any,14,34,'13
2013,3,England,20 to 24,Any,34,64,'13
2013,3,England,25 to 29,Any,34,77,'13
2013,3,England,30 to 34,Any,48,81,'13
2013,3,England,35 to 39,Any,45,81,'13
2013,3,England,40 to 44,Any,41,81,'13
2013,3,England,45 to 49,Any,37,82,'13
2013,3,England,50 to 54,Any,36,80,'13
2013,3,England,55 to 59,Any,33,73,'13
2013,3,England,60 to 64,Any,18,47,'13
2013,2,England,16 to 19,Any,14,31,'13
2013,2,England,20 to 24,Any,33,60,'13
2013,2,England,25 to 29,Any,31,77,'13
2013,2,England,30 to 34,Any,46,81,'13
2013,2,England,35 to 39,Any,41,81,'13
2013,2,England,40 to 44,Any,41,81,'13
2013,2,England,45 to 49,Any,34,82,'13
2013,2,England,50 to 54,Any,36,81,'13
2013,2,England,55 to 59,Any,29,73,'13
2013,2,England,60 to 64,Any,16,46,'13
2013,1,England,16 to 19,Any,16,32,'13
2013,1,England,20 to 24,Any,35,61,'13
2013,1,England,25 to 29,Any,38,77,'13
2013,1,England,30 to 34,Any,34,80,'13
2013,1,England,35 to 39,Any,43,81,'13
2013,1,England,40 to 44,Any,39,81,'13
2013,1,England,45 to 49,Any,32,82,'13
2013,1,England,50 to 54,Any,35,81,'13
2013,1,England,55 to 59,Any,30,72,'13
2013,1,England,60 to 64,Any,14,46,'13
2013,4,England,All,Any,35,72,'13
2013,3,England,All,Any,35,72,'13
2013,2,England,All,Any,33,71,'13
2013,1,England,All,Any,32,71,'13
2013,4,England,All,Female,37,67,'13
2013,4,England,All,Male,33,77,'13
2013,3,England,All,Female,35,66,'13
2013,3,England,All,Male,34,77,'13
2013,2,England,All,Female,34,66,'13
2013,2,England,All,Male,31,76,'13
2013,1,England,All,Female,34,66,'13
2013,1,England,All,Male,29,76,'13
2013,4,London,All,Any,31,71,'13
2013,3,London,All,Any,30,70,'13
2013,2,London,All,Any,28,69,'13
2013,1,London,All,Any,29,70,'13
2013,4,Merseyside,All,Any,21,66,'13
2013,3,Merseyside,All,Any,21,65,'13
2013,2,Merseyside,All,Any,22,69,'13
2013,1,Merseyside,All,Any,25,68,'13
2013,4,North East,All,Any,33,67,'13
2013,3,North East,All,Any,29,68,'13
2013,2,North East,All,Any,29,66,'13
2013,1,North East,All,Any,27,66,'13
2013,4,North West,All,Any,29,69,'13
2013,3,North West,All,Any,29,69,'13
2013,2,North West,All,Any,28,69,'13
2013,1,North West,All,Any,24,68,'13
2013,4,South East,All,Any,45,76,'13
2013,3,South East,All,Any,43,65,'13
2013,2,South East,All,Any,40,75,'13
2013,1,South East,All,Any,39,74,'13
2013,4,South West,All,Any,39,75,'13
2013,3,South West,All,Any,40,75,'13
2013,2,South West,All,Any,34,73,'13
2013,1,South West,All,Any,37,74,'13
2013,4,West Midlands,All,Any,31,69,'13
2013,3,West Midlands,All,Any,31,68,'13
2013,2,West Midlands,All,Any,32,68,'13
2013,1,West Midlands,All,Any,31,69,'13
2013,4,Yorkshire,All,Any,34,71,'13
2013,3,Yorkshire,All,Any,34,71,'13
2013,2,Yorkshire,All,Any,3,70,'13
2013,1,Yorkshire,All,Any,31,70,'13
2014,1,East Midlands,All,Any,36,72,'14
2014,1,Eastern,All,Any,39,76,'14
2014,1,England,16 to 19,Any,15,32,'14
2014,1,England,20 to 24,Any,34,63,'14
2014,1,England,25 to 29,Any,40,79,'14
2014,1,England,30 to 34,Any,47,81,'14
2014,1,England,35 to 39,Any,43,81,'14
2014,1,England,40 to 44,Any,43,83,'14
2014,1,England,45 to 49,Any,44,83,'14
2014,1,England,50 to 54,Any,34,81,'14
2014,1,England,55 to 59,Any,29,72,'14
2014,1,England,60 to 64,Any,18,48,'14
2014,1,England,All,Any,36,72,'14
2014,1,England,All,Female,37,67,'14
2014,1,England,All,Male,34,77,'14
2014,1,London,All,Any,32,71,'14
2014,1,Merseyside,All,Any,17,68,'14
2014,1,North East,All,Any,33,68,'14
2014,1,North West,All,Any,28,68,'14
2014,1,South East,All,Any,44,75,'14
2014,1,South West,All,Any,43,75,'14
2014,1,West Midlands,All,Any,33,70,'14
2014,1,Yorkshire,All,Any,36,71,'14